qkey,lang,device_type,gender,agecat,racethnmod,racecmb,hisp,educcat,inc,inc_tier2,marital,relig,religcat1,attendper,cregion,usr_selfid,party,partysum,ideo,tipview,tip1,tip2,tipsugg,tipauto,tipexpect,tipself,tipfreq_rest_serv,tipfreq_rest_noserv,tipfreq_delvry,tipfreq_coffee,tipfreq_bar,tipfreq_taxi,tipfreq_hairct,tipfactor1_qual,tipfactor1_socpre,tipfactor1_wrkearn,tipfactor1_cost,tipfactor2_qual,tipfactor2_socpre,tipfactor2_wrkearn,tipfactor2_cost,tipamount,tipshare,sportsfan,sportsnum,talksports,ussport,sportsatt,whysports_comm,whysports_team,whysports_player,whysports_entertain,whysports_bet,whysports_family,whynotsports_othint,whynotsports_boring,whynotsports_compete,whynotsports_violent,whynotsports_political,whynotsports_money
643431,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$70,000–$79,999",Middle income,Married,Protestant,Protestant,More than once a week,South,Rural,Republican,Rep/Lean Rep,Conservative,1,3.0,,1,4,1,1,1,4,2,4,3,2,4,1.0,2.0,1.0,2.0,,,,,2,1,2,4,3,5,1,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,
643728,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Never been married,Nothing in particular,Unaffiliated,Never,Northeast,Urban,Independent,Dem/Lean Dem,Liberal,2,,2.0,3,6,3,1,1,3,1,3,1,1,1,,,,,3.0,3.0,3.0,2.0,4,1,2,2,3,3,1,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,
643848,1,2,Female,65+,White non-Hispanic,White,No,Some College,"$70,000–$79,999",Middle income,Divorced,Roman Catholic,Catholic,A few times a year,Midwest,Suburban,Republican,Rep/Lean Rep,Conservative,2,,2.0,5,4,1,1,1,1,1,4,1,1,1,,,,,1.0,3.0,2.0,2.0,4,2,4,2,3,3,3,,,,,,,3.0,3.0,3.0,2.0,2.0,3.0
644484,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Living with a partner,Jewish,Other,Seldom,Northeast,Suburban,Republican,Rep/Lean Rep,Moderate,3,1.0,,1,2,1,1,1,4,1,4,1,3,1,1.0,2.0,1.0,3.0,,,,,3,3,1,2,1,1,3,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,
644602,1,2,Male,50-64,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,A few times a year,Northeast,Suburban,Republican,Rep/Lean Rep,Very conservative,3,4.0,,4,4,1,2,1,5,1,4,1,2,1,1.0,3.0,1.0,3.0,,,,,3,1,4,5,5,2,1,,,,,,,1.0,1.0,3.0,3.0,2.0,1.0
644610,1,2,Male,30-49,White non-Hispanic,White,No,H.S. graduate or less,"$80,000–$89,999",Middle income,Divorced,Nothing in particular,Unaffiliated,Never,South,Rural,Independent,Rep/Lean Rep,Moderate,3,3.0,,5,5,1,2,1,5,6,6,6,6,6,1.0,3.0,3.0,3.0,,,,,2,2,2,3,3,3,3,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,
644744,1,1,Female,50-64,White non-Hispanic,White,No,College graduate+,"$50,000–$59,999",Middle income,Widowed,Protestant,Protestant,A few times a year,South,Rural,Republican,Rep/Lean Rep,Conservative,3,,1.0,5,5,1,2,1,5,1,6,1,1,1,,,,,1.0,3.0,2.0,3.0,4,2,3,1,5,1,1,3.0,1.0,2.0,1.0,3.0,2.0,,,,,,
644809,1,1,Male,65+,Black non-Hispanic,Black or African-American,No,Some College,"$40,000–$49,999",Middle income,Married,Protestant,Protestant,Seldom,Northeast,Urban,Democrat,Dem/Lean Dem,Liberal,3,2.0,,3,4,1,2,1,5,6,6,6,6,6,1.0,3.0,3.0,3.0,,,,,1,2,1,3,2,3,3,3.0,2.0,2.0,1.0,3.0,3.0,,,,,,
645020,1,1,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Jewish,Other,Never,South,Suburban,Independent,No lean,Moderate,3,1.0,,3,5,1,2,2,5,6,5,3,3,2,1.0,3.0,3.0,3.0,,,,,1,1,3,3,3,3,1,3.0,2.0,3.0,1.0,3.0,3.0,,,,,,
645149,1,2,Female,30-49,White non-Hispanic,White,No,Some College,"$40,000–$49,999",Lower income,Married,Protestant,Protestant,Once or twice a month,South,Rural,Independent,Rep/Lean Rep,Moderate,2,3.0,,2,4,1,1,1,5,6,3,6,6,3,1.0,2.0,1.0,2.0,,,,,2,1,5,5,6,1,1,,,,,,,1.0,3.0,3.0,3.0,3.0,2.0
645221,1,1,Male,65+,Asian non-Hispanic,Asian or Asian-American,No,College graduate+,"$100,000 or more",Upper income,Married,Hindu,Other,A few times a year,South,Suburban,Independent,Dem/Lean Dem,Moderate,2,3.0,,5,5,1,2,1,3,6,3,1,2,1,3.0,1.0,3.0,2.0,,,,,3,3,3,2,6,1,3,2.0,1.0,2.0,1.0,3.0,3.0,,,,,,
645663,1,2,Male,65+,White non-Hispanic,White,No,H.S. graduate or less,"Less than $30,000",Lower income,Never been married,Roman Catholic,Catholic,Once or twice a month,South,Urban,Independent,Rep/Lean Rep,Conservative,3,1.0,,6,3,3,2,1,3,1,3,1,2,4,2.0,3.0,2.0,3.0,,,,,3,1,5,5,6,1,1,,,,,,,1.0,3.0,3.0,3.0,3.0,1.0
645732,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$70,000–$79,999",Middle income,Married,Protestant,Protestant,A few times a year,Midwest,Rural,Republican,Rep/Lean Rep,Very conservative,1,2.0,,5,5,1,2,2,5,6,6,4,6,4,1.0,2.0,2.0,2.0,,,,,1,2,1,1,1,3,1,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,
645909,1,2,Female,30-49,White non-Hispanic,White,No,Some College,"$80,000–$89,999",Middle income,Married,Nothing in particular,Unaffiliated,Once or twice a month,South,Suburban,Something else,Rep/Lean Rep,Moderate,3,3.0,,3,5,1,1,1,5,1,4,3,6,2,1.0,1.0,3.0,2.0,,,,,2,1,5,5,6,4,1,,,,,,,1.0,2.0,3.0,3.0,1.0,1.0
645972,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$90,000–$99,999",Middle income,Married,Protestant,Protestant,Once a week,West,Suburban,Something else,Rep/Lean Rep,Very conservative,1,,1.0,5,5,1,1,1,5,6,5,1,5,5,,,,,1.0,3.0,2.0,2.0,4,3,3,3,5,1,1,3.0,2.0,3.0,2.0,3.0,2.0,,,,,,
646079,1,2,Female,30-49,White non-Hispanic,White,No,College graduate+,"$90,000–$99,999",Middle income,Never been married,Atheist,Unaffiliated,Never,Northeast,Suburban,Democrat,Dem/Lean Dem,Very liberal,2,2.0,,2,4,3,1,1,4,1,3,1,1,1,1.0,3.0,2.0,3.0,,,,,4,1,5,5,6,2,3,,,,,,,1.0,1.0,3.0,3.0,3.0,2.0
646163,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Agnostic,Unaffiliated,Never,West,Suburban,Something else,Rep/Lean Rep,Conservative,2,,5.0,5,5,1,2,1,1,1,1,1,1,1,,,,,3.0,1.0,3.0,3.0,4,3,3,3,3,3,3,2.0,1.0,3.0,1.0,3.0,3.0,,,,,,
646386,1,1,Male,65+,White non-Hispanic,White,No,H.S. graduate or less,"$30,000–$39,999",Lower income,Married,Agnostic,Unaffiliated,Never,West,Suburban,Independent,Rep/Lean Rep,Conservative,3,,3.0,2,4,3,2,1,3,6,3,6,6,1,,,,,1.0,3.0,3.0,2.0,2,1,4,5,5,1,1,,,,,,,2.0,3.0,3.0,3.0,1.0,2.0
646801,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$70,000–$79,999",Middle income,Married,Roman Catholic,Catholic,Never,Northeast,Suburban,Independent,Dem/Lean Dem,Moderate,2,3.0,,4,4,3,2,1,4,6,1,6,1,1,2.0,2.0,1.0,2.0,,,,,4,2,5,5,4,1,1,,,,,,,1.0,3.0,3.0,3.0,3.0,1.0
646823,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Seldom,Midwest,Suburban,Independent,Rep/Lean Rep,Moderate,3,3.0,,3,4,1,2,1,3,1,3,1,3,6,1.0,1.0,2.0,2.0,,,,,3,1,2,2,3,3,1,2.0,2.0,3.0,1.0,3.0,3.0,,,,,,
647213,1,2,Male,50-64,Black non-Hispanic,Black or African-American,No,College graduate+,"$80,000–$89,999",Middle income,Separated,Roman Catholic,Catholic,A few times a year,West,Urban,Independent,Dem/Lean Dem,Moderate,3,4.0,,4,4,1,1,1,4,2,3,1,3,4,1.0,2.0,1.0,1.0,,,,,6,3,4,1,6,5,1,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
647894,1,3,Female,30-49,Other,Or some other race,No,H.S. graduate or less,"Less than $30,000",99,Widowed,Muslim,Other,Never,Northeast,Urban,Independent,Dem/Lean Dem,Very liberal,2,2.0,,5,6,3,2,3,4,5,3,5,5,5,2.0,3.0,1.0,2.0,,,,,6,1,1,4,4,2,3,3.0,3.0,2.0,1.0,3.0,2.0,,,,,,
648143,1,2,Female,50-64,White non-Hispanic,White,No,H.S. graduate or less,"$90,000–$99,999",Middle income,Married,Protestant,Protestant,Once a week,South,Suburban,Republican,Rep/Lean Rep,Conservative,3,3.0,,2,5,1,1,1,5,1,5,1,1,1,1.0,3.0,2.0,3.0,,,,,4,1,5,1,5,3,3,,,,,,,1.0,2.0,3.0,3.0,2.0,3.0
648758,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Nothing in particular,Unaffiliated,Seldom,West,Suburban,Republican,Rep/Lean Rep,Conservative,3,4.0,,4,3,1,1,1,4,6,3,6,1,1,1.0,2.0,3.0,2.0,,,,,4,1,3,2,3,3,1,2.0,1.0,3.0,1.0,3.0,2.0,,,,,,
648896,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Hindu,Other,More than once a week,Midwest,Rural,Democrat,Dem/Lean Dem,Very liberal,3,,3.0,5,5,1,1,1,2,6,1,4,1,3,,,,,1.0,2.0,1.0,2.0,2,1,4,1,6,1,1,,,,,,,1.0,3.0,2.0,3.0,3.0,2.0
648957,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$60,000–$69,999",Middle income,Divorced,Protestant,Protestant,A few times a year,West,Rural,Independent,Dem/Lean Dem,Liberal,3,,4.0,5,5,1,2,1,4,6,3,6,6,1,,,,,1.0,2.0,1.0,1.0,3,3,5,5,6,3,1,,,,,,,1.0,2.0,3.0,3.0,3.0,1.0
649038,1,1,Male,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Married,Protestant,Protestant,Once a week,Midwest,Urban,Independent,Rep/Lean Rep,Conservative,3,4.0,,4,5,1,2,1,4,6,2,2,6,6,1.0,2.0,2.0,2.0,,,,,3,1,5,5,6,3,1,,,,,,,1.0,2.0,3.0,3.0,3.0,1.0
649196,1,2,Male,65+,Black non-Hispanic,Black or African-American,No,Some College,"$30,000–$39,999",Middle income,Divorced,Nothing in particular,Unaffiliated,Never,West,Urban,Democrat,Dem/Lean Dem,Liberal,1,,2.0,5,5,1,2,1,5,3,1,1,5,1,,,,,1.0,3.0,3.0,3.0,2,3,3,3,5,3,1,3.0,3.0,3.0,2.0,3.0,3.0,,,,,,
649236,1,1,Female,30-49,Black non-Hispanic,Black or African-American,No,Some College,"$30,000–$39,999",Lower income,Never been married,Nothing in particular,Unaffiliated,Seldom,Midwest,Urban,Democrat,Dem/Lean Dem,Liberal,2,,3.0,6,4,1,2,1,5,6,4,1,6,1,,,,,1.0,1.0,3.0,1.0,2,1,5,5,6,1,1,,,,,,,1.0,2.0,2.0,2.0,3.0,2.0
649446,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,A few times a year,South,Rural,Republican,Rep/Lean Rep,Moderate,3,,3.0,4,5,1,2,1,4,6,1,1,1,1,,,,,1.0,2.0,2.0,2.0,2,1,1,3,3,3,1,2.0,1.0,3.0,1.0,2.0,2.0,,,,,,
649614,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Never been married,Protestant,Protestant,Seldom,South,Urban,Republican,Rep/Lean Rep,Conservative,3,5.0,,5,2,1,1,1,1,2,4,1,2,1,1.0,1.0,2.0,1.0,,,,,4,1,1,4,1,1,1,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,
649640,1,1,Male,65+,Other,Mixed Race,No,Some College,"$90,000–$99,999",Middle income,Married,Roman Catholic,Catholic,A few times a year,Northeast,Suburban,Something else,No lean,Moderate,3,,3.0,3,3,1,1,1,4,6,6,1,6,3,,,,,2.0,3.0,2.0,3.0,4,2,1,4,3,3,3,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,
649847,1,1,Male,50-64,White non-Hispanic,White,No,Some College,"$50,000–$59,999",Middle income,Divorced,Nothing in particular,Unaffiliated,Never,South,Rural,Democrat,Dem/Lean Dem,Moderate,1,4.0,,5,5,1,2,1,5,6,1,1,6,1,1.0,1.0,3.0,1.0,,,,,4,1,5,5,6,3,1,,,,,,,1.0,1.0,3.0,3.0,3.0,1.0
649944,1,2,Female,50-64,Black non-Hispanic,Black or African-American,No,Some College,"$60,000–$69,999",Middle income,Married,Protestant,Protestant,More than once a week,South,Urban,Democrat,Dem/Lean Dem,Conservative,1,2.0,,5,5,1,2,1,4,6,6,6,6,6,1.0,1.0,1.0,1.0,,,,,2,1,4,5,6,3,2,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
649965,1,1,Male,65+,White non-Hispanic,White,No,H.S. graduate or less,"$50,000–$59,999",Middle income,Separated,Atheist,Unaffiliated,Never,Midwest,Suburban,Something else,Dem/Lean Dem,Very liberal,3,,1.0,3,5,3,1,1,6,6,1,2,2,6,,,,,1.0,3.0,3.0,3.0,2,1,5,5,6,1,1,,,,,,,2.0,3.0,3.0,3.0,1.0,1.0
650035,1,2,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"$70,000–$79,999",Middle income,Married,Protestant,Protestant,Once a week,South,Rural,Republican,Rep/Lean Rep,Very conservative,2,,4.0,3,5,1,2,1,5,2,6,6,1,2,,,,,2.0,3.0,1.0,3.0,4,1,1,4,3,3,3,2.0,2.0,1.0,2.0,3.0,1.0,,,,,,
650165,1,2,Female,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Married,Nothing in particular,Unaffiliated,Never,West,Urban,Democrat,Dem/Lean Dem,Liberal,2,4.0,,3,3,1,1,1,1,1,1,1,1,1,2.0,2.0,2.0,2.0,,,,,4,3,1,1,3,1,2,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,
650249,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$80,000–$89,999",Upper income,Widowed,Protestant,Protestant,Never,South,Suburban,Republican,Rep/Lean Rep,Moderate,2,,3.0,2,2,1,1,1,3,1,1,1,1,1,,,,,1.0,3.0,3.0,3.0,4,1,4,2,5,1,1,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0
650620,1,2,Female,30-49,Asian non-Hispanic,Asian or Asian-American,No,College graduate+,"$100,000 or more",Middle income,Married,Atheist,Unaffiliated,Never,South,Suburban,Democrat,Dem/Lean Dem,Liberal,2,,1.0,3,3,3,1,1,2,1,1,1,1,1,,,,,2.0,3.0,3.0,3.0,4,3,4,5,6,3,3,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0
650756,1,2,Female,65+,White non-Hispanic,White,No,Some College,"$40,000–$49,999",Middle income,Widowed,Protestant,Protestant,Once or twice a month,West,Rural,Republican,Rep/Lean Rep,Moderate,3,,2.0,4,4,3,2,1,4,6,6,6,6,1,,,,,1.0,3.0,2.0,1.0,4,1,1,3,3,1,3,3.0,1.0,2.0,2.0,3.0,2.0,,,,,,
650775,1,1,Male,65+,White non-Hispanic,White,No,College graduate+,"$30,000–$39,999",Middle income,Divorced,Other,Other,Never,West,Suburban,Democrat,Dem/Lean Dem,Liberal,3,3.0,,3,4,1,1,1,4,6,1,6,6,2,1.0,3.0,1.0,3.0,,,,,1,2,3,2,3,1,1,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,
650852,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$70,000–$79,999",Middle income,Married,Roman Catholic,Catholic,Never,South,Suburban,Something else,Rep/Lean Rep,Conservative,1,1.0,,3,6,3,1,1,5,1,1,6,6,1,2.0,3.0,3.0,3.0,,,,,4,99,2,1,5,3,1,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,
651047,1,1,Male,65+,White non-Hispanic,White,No,H.S. graduate or less,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Never,Northeast,Rural,Republican,Rep/Lean Rep,Very conservative,1,,2.0,3,5,1,1,2,4,6,6,6,6,6,,,,,1.0,3.0,3.0,3.0,1,1,5,5,6,7,1,,,,,,,1.0,3.0,3.0,3.0,1.0,1.0
651102,1,2,Female,30-49,Hispanic,White,Yes,College graduate+,"$30,000–$39,999",Lower income,Married,Agnostic,Unaffiliated,Never,Midwest,Suburban,Independent,Dem/Lean Dem,Conservative,3,2.0,,4,4,1,1,1,5,1,3,3,2,1,1.0,3.0,1.0,1.0,,,,,6,1,5,5,6,1,1,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
651256,1,2,Female,30-49,Asian non-Hispanic,Asian or Asian-American,No,College graduate+,"$100,000 or more",Upper income,Married,Atheist,Unaffiliated,Never,Northeast,Urban,Something else,Dem/Lean Dem,Liberal,2,,3.0,4,3,1,2,1,4,1,5,1,4,1,,,,,2.0,2.0,3.0,3.0,4,1,5,5,6,3,1,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
651351,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$70,000–$79,999",Middle income,Married,Agnostic,Unaffiliated,Never,South,Suburban,Independent,Dem/Lean Dem,Liberal,2,,3.0,4,5,1,2,1,4,2,3,1,6,3,,,,,1.0,3.0,3.0,2.0,4,1,5,5,6,7,1,,,,,,,1.0,1.0,3.0,1.0,3.0,2.0
651381,1,1,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"$50,000–$59,999",Middle income,Never been married,Nothing in particular,Unaffiliated,Never,West,Rural,Democrat,Dem/Lean Dem,Moderate,3,,4.0,4,5,1,1,1,99,6,6,6,6,1,,,,,99.0,3.0,2.0,1.0,2,1,3,4,5,3,1,3.0,1.0,2.0,1.0,99.0,3.0,,,,,,
651396,1,2,Female,30-49,Hispanic,White,Yes,College graduate+,"$70,000–$79,999",Middle income,Married,Nothing in particular,Unaffiliated,Never,West,Suburban,Something else,Dem/Lean Dem,Moderate,2,4.0,,3,5,1,1,1,1,1,2,2,2,2,2.0,1.0,2.0,2.0,,,,,3,3,3,5,6,2,1,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,
651541,1,2,Male,50-64,White non-Hispanic,White,No,H.S. graduate or less,"$30,000–$39,999",Middle income,Widowed,Nothing in particular,Unaffiliated,Seldom,South,Rural,Republican,Rep/Lean Rep,Conservative,3,4.0,,5,5,1,2,1,5,6,3,3,1,1,1.0,3.0,1.0,1.0,,,,,2,1,2,2,2,1,3,3.0,2.0,3.0,1.0,2.0,3.0,,,,,,
651578,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$100,000 or more",Middle income,Married,Protestant,Protestant,Seldom,West,Suburban,Republican,Rep/Lean Rep,Conservative,1,,2.0,5,5,1,2,1,6,1,5,1,6,6,,,,,1.0,2.0,2.0,2.0,1,1,3,3,5,3,1,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,
651697,1,2,Female,50-64,Hispanic,White,Yes,College graduate+,"$60,000–$69,999",Middle income,Married,Roman Catholic,Catholic,Never,South,Urban,Democrat,Dem/Lean Dem,Moderate,3,,2.0,5,5,1,1,1,5,1,4,6,4,1,,,,,1.0,2.0,1.0,1.0,1,1,5,5,6,2,1,,,,,,,1.0,3.0,3.0,1.0,3.0,1.0
652059,1,2,Female,30-49,White non-Hispanic,White,No,College graduate+,"$60,000–$69,999",Middle income,Married,Protestant,Protestant,Once a week,South,Suburban,Independent,Dem/Lean Dem,Moderate,2,,3.0,2,4,3,2,1,4,6,5,6,6,2,,,,,2.0,1.0,1.0,2.0,4,1,5,5,6,3,1,,,,,,,1.0,1.0,2.0,3.0,3.0,2.0
652173,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Atheist,Unaffiliated,Never,West,Urban,Democrat,Dem/Lean Dem,Moderate,2,2.0,,4,5,1,1,2,4,1,2,1,1,6,1.0,1.0,2.0,1.0,,,,,2,1,5,5,6,3,1,,,,,,,1.0,2.0,3.0,3.0,3.0,2.0
652222,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$40,000–$49,999",Middle income,Never been married,Protestant,Protestant,Once or twice a month,Midwest,Suburban,Independent,Dem/Lean Dem,Moderate,3,,3.0,2,2,1,2,1,3,6,6,6,6,2,,,,,1.0,3.0,3.0,2.0,2,1,4,5,5,1,3,,,,,,,1.0,2.0,3.0,3.0,3.0,3.0
652624,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$80,000–$89,999",Middle income,Divorced,Nothing in particular,Unaffiliated,Never,South,Suburban,Democrat,Dem/Lean Dem,Very liberal,2,,3.0,5,5,1,1,1,5,6,6,1,1,1,,,,,2.0,2.0,1.0,2.0,4,1,3,1,3,1,1,3.0,2.0,3.0,1.0,3.0,3.0,,,,,,
652882,1,2,Male,30-49,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,South,Rural,Republican,Rep/Lean Rep,Conservative,3,,3.0,3,3,3,1,2,3,4,2,1,2,2,,,,,1.0,99.0,3.0,2.0,2,2,3,4,3,3,3,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,
653158,1,2,Male,30-49,White non-Hispanic,White,No,College graduate+,"$70,000–$79,999",Middle income,Married,Orthodox,Other,A few times a year,West,Suburban,Independent,Rep/Lean Rep,Moderate,3,,1.0,5,5,1,1,1,5,2,4,1,4,1,,,,,1.0,2.0,3.0,1.0,2,1,2,3,3,1,3,2.0,1.0,2.0,1.0,3.0,3.0,,,,,,
653320,1,2,Male,30-49,White non-Hispanic,White,No,Some College,"$50,000–$59,999",Middle income,Never been married,Roman Catholic,Catholic,Seldom,Midwest,Urban,Something else,Rep/Lean Rep,Moderate,3,,2.0,4,4,1,1,2,5,2,5,6,3,2,,,,,1.0,3.0,2.0,1.0,2,1,5,5,6,1,1,,,,,,,1.0,1.0,3.0,3.0,3.0,1.0
653382,1,2,Female,30-49,Hispanic,White,Yes,Some College,"$90,000–$99,999",Middle income,Married,Agnostic,Unaffiliated,Never,West,Rural,Something else,Rep/Lean Rep,Moderate,2,,4.0,4,4,1,1,1,5,1,2,1,1,1,,,,,2.0,1.0,3.0,1.0,4,1,5,5,5,3,3,,,,,,,1.0,2.0,3.0,3.0,3.0,3.0
653393,1,2,Female,30-49,White non-Hispanic,White,No,Some College,"$50,000–$59,999",Lower income,Married,Mormon (LDS),Other,Once a week,West,Rural,Republican,Rep/Lean Rep,Conservative,1,,5.0,3,2,1,2,1,5,4,5,5,6,5,,,,,1.0,3.0,3.0,1.0,1,1,5,5,6,1,1,,,,,,,1.0,2.0,3.0,3.0,3.0,3.0
653477,1,2,Male,50-64,White non-Hispanic,White,No,H.S. graduate or less,"$30,000–$39,999",Middle income,Never been married,Protestant,Protestant,A few times a year,South,Rural,Republican,Rep/Lean Rep,Conservative,1,,3.0,3,5,1,2,1,3,4,6,1,6,2,,,,,1.0,2.0,3.0,2.0,1,3,3,2,3,2,1,2.0,2.0,2.0,1.0,3.0,2.0,,,,,,
653635,1,2,Female,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Married,Roman Catholic,Catholic,Seldom,Northeast,Suburban,Republican,Rep/Lean Rep,Moderate,3,3.0,,3,4,1,2,1,1,6,5,2,1,1,1.0,2.0,99.0,2.0,,,,,3,1,4,2,3,1,1,,,,,,,2.0,3.0,3.0,3.0,3.0,1.0
653764,1,1,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once or twice a month,West,Suburban,Republican,Rep/Lean Rep,Conservative,3,,4.0,4,5,1,2,1,5,1,5,3,2,2,,,,,1.0,3.0,3.0,3.0,2,1,5,5,6,3,1,,,,,,,1.0,1.0,2.0,3.0,2.0,2.0
653904,1,1,Female,65+,White non-Hispanic,White,No,Some College,"Less than $30,000",Lower income,Divorced,Protestant,Protestant,Once or twice a month,Midwest,Rural,Republican,Rep/Lean Rep,Very conservative,3,,3.0,4,4,1,1,1,4,2,4,2,3,1,,,,,2.0,2.0,1.0,2.0,4,1,3,3,3,1,1,3.0,2.0,1.0,1.0,3.0,2.0,,,,,,
653961,1,2,Female,50-64,White non-Hispanic,White,No,H.S. graduate or less,"$40,000–$49,999",Middle income,Married,Protestant,Protestant,More than once a week,South,Rural,Republican,Rep/Lean Rep,Conservative,1,1.0,,5,5,1,2,1,4,3,3,6,4,3,1.0,3.0,3.0,2.0,,,,,2,1,4,1,3,1,1,,,,,,,1.0,2.0,2.0,2.0,3.0,3.0
653972,1,1,Male,30-49,Hispanic,Mixed Race,Yes,Some College,"$60,000–$69,999",Middle income,Never been married,Atheist,Unaffiliated,Never,West,Urban,Democrat,Dem/Lean Dem,Liberal,2,4.0,,3,1,1,1,1,5,1,1,1,1,2,1.0,1.0,2.0,2.0,,,,,4,2,5,5,6,1,1,,,,,,,1.0,1.0,1.0,2.0,3.0,2.0
654114,1,2,Female,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Once a week,Midwest,Suburban,Republican,Rep/Lean Rep,Very conservative,2,4.0,,3,3,1,2,1,5,1,5,1,2,1,1.0,1.0,1.0,3.0,,,,,4,99,4,5,4,2,1,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
654117,1,1,Male,65+,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Divorced,Protestant,Protestant,Seldom,South,Rural,Independent,Rep/Lean Rep,Moderate,2,5.0,,5,5,1,2,1,5,1,3,1,3,6,2.0,1.0,1.0,3.0,,,,,3,1,5,5,6,1,1,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
654147,1,2,Male,30-49,Other,Or some other race,No,Some College,"$70,000–$79,999",Middle income,Never been married,Nothing in particular,Unaffiliated,Never,Northeast,Urban,Something else,Dem/Lean Dem,Very liberal,3,,2.0,3,3,1,1,1,3,1,6,1,2,1,,,,,1.0,3.0,3.0,3.0,3,2,1,4,2,3,3,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,
654339,1,2,Female,50-64,Hispanic,Or some other race,Yes,Some College,"$40,000–$49,999",Lower income,Living with a partner,Roman Catholic,Catholic,More than once a week,Midwest,Suburban,Democrat,Dem/Lean Dem,Moderate,1,,3.0,3,4,1,2,2,5,6,5,6,4,2,,,,,1.0,3.0,3.0,3.0,2,1,5,5,5,3,3,,,,,,,1.0,2.0,1.0,2.0,2.0,2.0
654498,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$40,000–$49,999",Middle income,Living with a partner,Atheist,Unaffiliated,Seldom,South,Suburban,Democrat,Dem/Lean Dem,Liberal,3,3.0,,4,5,3,2,1,5,6,4,6,6,5,2.0,3.0,1.0,3.0,,,,,2,1,3,2,5,3,3,3.0,1.0,3.0,1.0,3.0,2.0,,,,,,
